date,store,actual,naive,model
2023-11-04,store_1,0.3833997085266007,0.2784649096724042,0.2687513977593675
2023-11-05,store_1,0.8917505118647081,0.5582910399502615,0.7202331866766692
2023-11-06,store_1,-0.7638874256126141,-0.5796685565130247,-0.6975061818507207
2023-11-07,store_1,-0.5353627525523641,-0.292846772978221,-0.4371011703003243
2023-11-08,store_1,-0.728909159327882,-0.5237033304574533,-0.5788102288741849
2023-11-09,store_1,-0.7452323502607571,-0.5306989837143997,-0.4568002712835632
2023-11-10,store_1,-0.4094409939273282,-0.2975105418161853,-0.3445944039015879
2023-11-11,store_1,0.5932693062349937,0.3833997085266007,0.3253940057804666
2023-11-12,store_1,0.9453838535012976,0.8917505118647081,0.7598447779682308
2023-11-13,store_1,-0.7009265463000963,-0.7638874256126141,-0.7723904999746999
2023-11-14,store_1,-0.7895381542214177,-0.5353627525523641,-0.6343311677723023
2023-11-15,store_1,-0.7312410437468642,-0.728909159327882,-0.5974163024251452
2023-11-16,store_1,-0.6659482800153641,-0.7452323502607571,-0.5118947598887148
2023-11-17,store_1,-0.551685943485239,-0.4094409939273282,-0.25381764001686147
2023-11-18,store_1,0.3134431759571364,0.5932693062349937,0.25703360912700757
2023-11-19,store_1,0.856772245579976,0.9453838535012976,0.7112795094065637
2023-11-20,store_1,-0.761555541193632,-0.7009265463000963,-0.757887944295116
2023-11-21,store_1,-0.8011975763163285,-0.7895381542214177,-0.6646757330749625
2023-11-22,store_1,-0.6123149383787748,-0.7312410437468642,-0.6582509508838191
2023-11-23,store_1,-0.7102540839760249,-0.6659482800153641,-0.5860219779553792
2023-11-24,store_1,-0.5446902902282926,-0.551685943485239,-0.36276396340026573
2023-11-25,store_1,-0.1179554415545602,0.3134431759571364,0.1821153068383921
2023-11-26,store_1,0.388063477364565,0.856772245579976,0.47841235994045866
2023-11-27,store_1,-1.3538541836150966,-0.761555541193632,-0.7682109573594845
2023-11-28,store_1,-1.3585179524530608,-0.8011975763163285,-0.764441654804535
2023-11-29,store_1,-0.7895381542214177,-0.6123149383787748,-0.8793069028101548
2023-11-30,store_1,-0.8618265712098643,-0.7102540839760249,-0.9156605594858692
2023-10-01,store_2,-0.4304279536981675,-0.8463061601589339,-0.4757943989517668
2023-10-02,store_2,-0.7522280035177035,-0.8463061601589339,-0.8188667957466074
2023-10-03,store_2,-0.2741916976263639,-0.8463061601589339,-0.7470975585016886
2023-10-04,store_2,-0.8431714958580071,-0.8463061601589339,-0.6957723439394957
2023-10-05,store_2,-0.9317831037793286,-0.8463061601589339,-0.7032331008642204
2023-10-06,store_2,-0.6822714709482391,-0.8463061601589339,-0.5682206830223435
2023-10-07,store_2,-0.4514149134690068,-0.8463061601589339,-0.629221391167867
2023-10-08,store_2,-0.3954496874134354,-0.4304279536981675,-0.589450611420345
2023-10-09,store_2,-1.0786918221752035,-0.7522280035177035,-1.0287757660506287
2023-10-10,store_2,-1.0483773247284358,-0.2741916976263639,-0.7637433341563262
2023-10-11,store_2,-1.0460454403094537,-0.8431714958580071,-0.9860966184482856
2023-10-12,store_2,-0.9784207921589714,-0.9317831037793286,-0.9430494331395612
2023-10-13,store_2,-0.4793975264967925,-0.6822714709482391,-0.5916231221170708
2023-10-14,store_2,-0.4957207174296676,-0.4514149134690068,-0.500084617839278
2023-10-15,store_2,-0.1109597882976138,-0.3954496874134354,-0.3448577527188876
2023-10-16,store_2,-1.02039471170065,-1.0786918221752035,-1.042755284829408
2023-10-17,store_2,-1.1206657417168822,-1.0483773247284358,-0.7997203287764483
2023-10-18,store_2,-0.9737570233210072,-1.0460454403094537,-0.9055843052257797
2023-10-19,store_2,-0.9364468726172928,-0.9784207921589714,-0.8861368673006496
2023-10-20,store_2,-0.7498961190987213,-0.4793975264967925,-0.5166601404306976
2023-10-21,store_2,-0.7662193100315963,-0.4957207174296676,-0.3237543571474066
2023-10-22,store_2,-0.5120439083625427,-0.1109597882976138,-0.7023985049141902
2023-10-23,store_2,-1.1906222742863466,-1.02039471170065,-1.1440413827809717
2023-10-24,store_2,-1.178962852191436,-1.1206657417168822,-1.310300156902351
2023-10-25,store_2,-0.9597657168071144,-0.9737570233210072,-1.101586684823945
2023-10-26,store_2,-1.0157309428626855,-0.9364468726172928,-0.87699272941581
2023-10-27,store_2,-0.3837902653185246,-0.7498961190987213,-0.5968202182154291
2023-10-28,store_2,-0.728909159327882,-0.7662193100315963,-0.2989851869786191
2023-10-29,store_2,-0.777878732126507,-0.5120439083625427,-0.4712353460807749
2023-10-30,store_2,-1.036717902633525,-1.1906222742863466,-1.2060572807052323
2023-10-31,store_2,-0.6776077021102749,-1.178962852191436,-0.5844127229705208
2023-11-01,store_2,-0.9131280284274714,-0.9597657168071144,-1.010737219505557
2023-11-02,store_2,-1.050709209147418,-1.0157309428626855,-0.9100206454553338
2023-11-03,store_2,-0.7522280035177035,-0.3837902653185246,-0.516092024440882
2023-11-04,store_2,-0.6566207423394356,-0.728909159327882,-0.5016029403723609
2023-11-05,store_2,-0.4001134562513997,-0.777878732126507,-0.483962675135942
2023-11-06,store_2,-1.2092773496382037,-1.036717902633525,-1.0003021756824568
2023-11-07,store_2,-1.0623686312423286,-0.6776077021102749,-0.9455112584806593
2023-11-08,store_2,-0.924787450522382,-0.9131280284274714,-1.045195407359653
2023-11-09,store_2,-1.0763599377562214,-1.050709209147418,-0.9589474722895845
2023-11-10,store_2,-0.7335729281658463,-0.7522280035177035,-0.6179026434551856
2023-11-11,store_2,-0.6962627774621319,-0.6566207423394356,-0.42813572549912776
2023-11-12,store_2,-0.3418163457768461,-0.4001134562513997,-0.5846091493165623
2023-11-13,store_2,-0.9994077519298108,-1.2092773496382037,-1.119822129437441
2023-11-14,store_2,-1.1416527014877216,-1.0623686312423286,-0.8533936673988414
2023-11-15,store_2,-1.0926831286890966,-0.924787450522382,-1.031676017556386
2023-11-16,store_2,-1.2092773496382037,-1.0763599377562214,-0.9749067501560073
2023-11-17,store_2,-0.8501671491149535,-0.7335729281658463,-0.7921527993167286
2023-11-18,store_2,-0.7732149632885428,-0.6962627774621319,-0.32907355567751395
2023-11-19,store_2,-0.5330308681333819,-0.3418163457768461,-0.6369397338844335
2023-11-20,store_2,-1.1626396612585608,-0.9994077519298108,-1.1477702575137416
2023-11-21,store_2,-1.1882903898673645,-1.1416527014877216,-1.2047255831738302
2023-11-22,store_2,-1.0273903649575964,-1.0926831286890966,-1.0998450565480864
2023-11-23,store_2,-0.9457744102932214,-1.2092773496382037,-1.003391457759243
2023-11-24,store_2,-0.8361758426010606,-0.8501671491149535,-0.7399860105622031
2023-11-25,store_2,-0.8268483049251321,-0.7732149632885428,-0.47634794613117554
2023-11-26,store_2,-0.4071091095083461,-0.5330308681333819,-0.5495112229524757
2023-11-27,store_2,-1.2838976510456324,-1.1626396612585608,-1.0642192084177209
2023-11-28,store_2,-1.2069454652192215,-1.1882903898673645,-1.2423922352559373
2023-11-29,store_2,-1.1859585054483823,-1.0273903649575964,-1.1285330964429923
2023-11-30,store_2,-1.1090063196219715,-0.9457744102932214,-1.074607131182995
2023-08-10,store_3,-0.8011975763163285,-0.7895381542214177,-0.4917052629251491
2023-08-11,store_3,-0.8035294607353106,-0.5773366720940426,-0.6083316074018162
2023-08-12,store_3,-0.2811873508833103,-0.0549945622420423,-0.3084015550054147
2023-08-13,store_3,-0.9504381791311856,-0.7592236567746499,-0.7159260860090593
2023-08-14,store_3,-0.9830845609969358,-0.7662193100315963,-0.8008844360048992
2023-08-15,store_3,-0.9201236816844178,-0.6869352397862034,-0.6867546911649335
2023-08-16,store_3,-0.7872062698024356,-0.777878732126507,-0.7847037011863667
2023-08-17,store_3,-0.7592236567746499,-0.8011975763163285,-0.610139556534807
2023-08-18,store_3,-0.7545598879366856,-0.8035294607353106,-0.5131761513393366
2023-08-19,store_3,-0.6496250890824891,-0.2811873508833103,-0.33064652669189426
2023-08-20,store_3,-0.6659482800153641,-0.9504381791311856,-0.7216786843484251
2023-08-21,store_3,-0.8921410686566321,-0.9830845609969358,-0.8690397348768374
2023-08-22,store_3,-0.9131280284274714,-0.9201236816844178,-0.7169789205365942
2023-08-23,store_3,-0.6729439332723105,-0.7872062698024356,-0.7574554708720098
2023-08-24,store_3,-0.8478352646959714,-0.7592236567746499,-0.7528942552586054
2023-08-25,store_3,-0.728909159327882,-0.7545598879366856,-0.5199941460348494
2023-08-26,store_3,-0.4001134562513997,-0.6496250890824891,-0.24547415542446732
2023-08-27,store_3,-0.9224555661034,-0.6659482800153641,-0.6350527030390892
2023-08-28,store_3,-0.9061323751705248,-0.8921410686566321,-0.886148537812044
2023-08-29,store_3,-1.6430078515688824,-0.9131280284274714,-0.7073369280854128
2023-08-30,store_3,-1.5474005903906145,-0.6729439332723105,-0.8663827867654037
2023-08-31,store_3,-0.6939308930431498,-0.8478352646959714,-0.7626223434932831
2023-09-01,store_3,-0.6193105916357212,-0.728909159327882,-0.6473595206732513
2023-09-02,store_3,0.0242895080033505,-0.4001134562513997,-0.26852510985537903
2023-09-03,store_3,-0.7032584307190785,-0.9224555661034,-0.5443065069399534
2023-09-04,store_3,-0.8991367219135785,-0.9061323751705248,-0.8602571491028055
2023-09-05,store_3,-0.924787450522382,-1.6430078515688824,-0.8892285235982955
2023-09-06,store_3,-0.938778757036275,-1.5474005903906145,-0.9563842696466253
2023-09-07,store_3,-0.8501671491149535,-0.6939308930431498,-0.9173658402530411
2023-09-08,store_3,-0.6472932046635069,-0.6193105916357212,-0.7812116958808538
2023-09-09,store_3,-0.8128569984112392,0.0242895080033505,-0.428971283634151
2023-09-10,store_3,-0.9481062947122036,-0.7032584307190785,-0.8671773469003492
2023-09-11,store_3,-1.0600367468233465,-0.8991367219135785,-1.0905167804972264
2023-09-12,store_3,-0.8478352646959714,-0.924787450522382,-1.1043396644260095
2023-09-13,store_3,-1.6290165450549896,-0.938778757036275,-1.0965842830591768
2023-09-14,store_3,-0.6542888579204534,-0.8501671491149535,-0.8869319625010119
